scrape_date,rank,provider,product_name,aer,duplicate_key
2026-06-26,246,West Brom BS,Amber Blue Saver Account,1.25,West Brom BS|Amber Blue Saver Account|1.25
2026-06-26,247,West Brom BS,Community Account,1.25,West Brom BS|Community Account|1.25
2026-06-26,248,West Brom BS,Direct Limited Access Saver (Issue 3),2.00,West Brom BS|Direct Limited Access Saver (Issue 3)|2.00
2026-06-26,249,West Brom BS,Direct Limited Access Saver (Issue 3),1.40,West Brom BS|Direct Limited Access Saver (Issue 3)|1.40
2026-06-26,250,West Brom BS,Limited Access Saver (Issue 2),2.00,West Brom BS|Limited Access Saver (Issue 2)|2.00
2026-06-26,251,West Brom BS,Limited Access Saver (Issue 2),1.40,West Brom BS|Limited Access Saver (Issue 2)|1.40
2026-06-26,252,West Brom BS,Red Balloon Appeal Account,1.25,West Brom BS|Red Balloon Appeal Account|1.25
2026-06-26,253,West Brom BS,Saddlers Super Saver Account,1.25,West Brom BS|Saddlers Super Saver Account|1.25
2026-06-26,254,West Brom BS,West Brom Saver,1.50,West Brom BS|West Brom Saver|1.50
2026-06-26,255,Hinckley & Rugby BS,Easy Access,1.51,Hinckley & Rugby BS|Easy Access|1.51
2026-06-26,256,Metro Bank,Instant Access Savings Account,0.90,Metro Bank|Instant Access Savings Account|0.90
2026-06-26,257,Newcastle BS,Newcastle Double Access Saver (Issue 4),3.45,Newcastle BS|Newcastle Double Access Saver (Issue 4)|3.45
2026-06-26,258,Newcastle BS,Newcastle Double Access Saver (Issue 4),1.70,Newcastle BS|Newcastle Double Access Saver (Issue 4)|1.70
2026-06-26,259,Santander,Limited Access Saver (Issue 8),2.50,Santander|Limited Access Saver (Issue 8)|2.50
2026-06-26,260,Santander,Limited Access Saver (Issue 8),1.00,Santander|Limited Access Saver (Issue 8)|1.00
2026-06-26,261,Newcastle BS,Newcastle Easy Saver (Issue 5),1.80,Newcastle BS|Newcastle Easy Saver (Issue 5)|1.80
2026-06-26,262,AA,Easy Access Savings,4.07,AA|Easy Access Savings|4.07
2026-06-26,263,Emma,Super Pot,1.70,Emma|Super Pot|1.70
2026-06-26,264,Emma,Super Pot - Plus,2.11,Emma|Super Pot - Plus|2.11
2026-06-26,265,Emma,Super Pot - Pro,2.97,Emma|Super Pot - Pro|2.97
2026-06-26,266,Emma,Super Pot - Ultimate,3.24,Emma|Super Pot - Ultimate|3.24
2026-06-26,267,Barclays Bank,Everyday Saver,1.00,Barclays Bank|Everyday Saver|1.00
2026-06-26,268,ICICI Bank UK,Savings Account,1.75,ICICI Bank UK|Savings Account|1.75
2026-06-26,269,ICICI Bank UK,HiSAVE Savings Account,1.25,ICICI Bank UK|HiSAVE Savings Account|1.25
2026-06-26,270,Melton BS,Instant Access Share,1.00,Melton BS|Instant Access Share|1.00
2026-06-26,271,Monzo Bank,Instant Access Savings Pot - Perks,3.25,Monzo Bank|Instant Access Savings Pot - Perks|3.25
2026-06-26,272,Chip,Chip Easy Access Account,1.71,Chip|Chip Easy Access Account|1.71
2026-06-26,273,Chip,Chip Easy Access Account,3.81,Chip|Chip Easy Access Account|3.81
2026-06-26,274,Chip,Chip Instant Access Account,3.51,Chip|Chip Instant Access Account|3.51
2026-06-26,275,Monument Bank,Limited Access Saver,3.74,Monument Bank|Limited Access Saver|3.74
2026-06-26,276,Monument Bank,Limited Access Saver,3.50,Monument Bank|Limited Access Saver|3.50
